Title,URL,Last Updated,Summary,Text_For_Model,bart_team,bart_score,bart_margin,bart_final,review_flag
Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery,https://www.gov.uk/government/publications/revised-approach-to-the-management-of-commercial-fisheries-in-european-marine-sites-overarching-policy-and-delivery,21 August 2014,"Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery Policy to ensure that all existing and potential commercial fishing operations are managed in line with Article 6 of the Habitats Directive Documents PDF , 300 KB , 4 pages This file may not be suitable for users of assistive technology. Details The revised approach applies to all European Marine Sites ( EMS ) in England. Updates to this page","Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery Revised approach to the management of commercial fisheries in European Marine Sites: overarching policy and delivery Policy to ensure that all existing and potential commercial fishing operations are managed in line with Article 6 of the Habitats Directive Documents PDF , 300 KB , 4 pages This file may not be suitable for users of assistive technology Details The revised approach applies to all European Marine Sites ( EMS ) in England",Comms,0.13599083,0.007908806,Unclassified,REVIEW_LOW_SCORE
Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development,https://www.gov.uk/government/publications/southern-north-sea-non-quota-species-fisheries-management-plan,1 May 2024,"Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development The Southern North Sea demersal non-quota species (NQS) Fisheries Management Plan (FMP) covers ICES divisions 4b and 4c and includes demersal species red, tub and grey gurnards, cuttlefish, squid, octopus, john dory, red mullet and lesser spotted dogfish. Documents Working Group Meeting - Meeting One PDF , 98.2 KB , 3 pages Working Group Meeting - Meeting Two PDF , 82.3 KB , 3 pages Working Group Meeting - Meeting Three PDF , 71.1 KB , 2 pages This file may not be suitable for users of assistive technology. Working Group Meeting - Meeting One (Slides) PDF , 794 KB , 12 pages Stakeholder Engagement Feedback PDF , 401 KB , 8 pages You said we did - Information Sheet PDF , 350 KB , 1 page Details This FMP is one of 43 FMPs to be developed under the Joint Fisheries Statement to support a sustainable and profitable fishing industry. The Southern North Sea demersal NQS FMP is among the Tranche Three of the FMPs being developed, with an aim to publish the plan at the end of 2024. MMO is currently working with stakeholders in commercial and recreational fishing, environmental organisations and other key marine bodies to understand their views, particularly on which species should be a priority, potential management changes and sustainability. Development of a plan specifically for demersal non-quota species in the southern North Sea was highlighted by the fishing industry and other key marine stakeholders as a necessary move because of concern about potential over-exploitation of some stocks and a lack of data about non-quota stocks in general. If you are interested in the SNS NQS FMP and want to be included in our stakeholder communications please send your details in confidence and a summary of your particular interest to FMP@marinemanagement.org.uk . Updates to this page 1 May 2024 You said we did - information sheet - added You said we did - information sheet - added 17 January 202","Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development Southern North Sea demersal non-quota species Fisheries Management Plan (FMP) development The Southern North Sea demersal non-quota species (NQS) Fisheries Management Plan (FMP) covers ICES divisions 4b and 4c and includes demersal species red, tub and grey gurnards, cuttlefish, squid, octopus, john dory, red mullet and lesser spotted dogfish Documents Working Group Meeting - Meeting One PDF , 98.2 KB , 3 pages Working Group Meeting - Meeting Two PDF , 82.3 KB , 3 pages Working Group Meeting - Meeting Three PDF , 71.1 KB , 2 pages This file may not be suitable for users of assistive technology Working Group Meeting - Meeting One (Slides) PDF , 794 KB , 12 pages Stakeholder Engagement Feedback PDF , 401 KB , 8 pages You said we did - Information Sheet PDF , 350 KB , 1 page Details This FMP is one of 43 FMPs to be developed under the Joint Fisheries Statement to support a sustainable and profitable fishing industry The Southern North Sea demersal NQS FMP is among the Tranche Three of the FMPs being developed, with an aim to publish the plan at the end of 2024 MMO is currently working with stakeholders in commercial and recreational fishing, environmental organisations and other key marine bodies to understand their views, particularly on which species should be a priority, potential management changes and sustainability Development of a plan specifically for demersal non-quota species in",Marine Planning,0.2932558,0.1991801,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw,https://www.gov.uk/government/publications/start-point-to-plymouth-sound-and-eddystone-european-marine-site-specified-areas-bottom-towed-gear-byelaw,11 June 2014,"Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts. Documents PDF , 413 KB , 5 pages Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw: Impact assessment PDF , 1.7 MB , 28 pages This file may not be suitable for users of assistive technology. Details Start Point to Plymouth Sound and Eddystone European Marine Site is off the south-west coast of England. The byelaw was amended by the Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 effective from 22 March 2024. More information on the site from Joint Nature Conservation Committee . In this site, the Marine Management Organisation’s byelaw applies between 6 and 12 nautical miles from the coast, and byelaws from Cornwall Inshore Fishery and Conservation Authority (IFCA) and Devon and Severn IFCA apply between 0 and 6 nautical miles. Updates to this page","Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw The byelaw for bottom towed fishing gear, including an impact assessment and charts Documents PDF , 413 KB , 5 pages Start Point to Plymouth Sound and Eddystone European Marine Site (Specified Areas) Bottom Towed Gear Byelaw: Impact assessment PDF , 1.7 MB , 28 pages This file may not be suitable for users of assistive technology Details Start Point to Plymouth Sound and Eddystone European Marine Site is off the south-west coast of England The byelaw was amended by the Marine Protected Areas Bottom Towed Fishing Gear Byelaw 2023 effective from 22 March 2024 More information on the site from Joint Nature Conservation Committee In this site, the Marine Management Organisation’s byelaw applies between 6 and 12 nautical miles from the coast, and byelaws from Cornwall Inshore Fishery and Conservation Authority (IFCA) and Devon and Severn IFCA apply between 0 and 6 nautical miles",FDST,0.20841147,0.101987295,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
"The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022",https://www.gov.uk/government/publications/the-inner-dowsing-race-bank-and-north-ridge-special-area-of-conservation-specified-areas-prohibited-fishing-gears-byelaw-2022,13 April 2022,"The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022 The Inner Dowsing, Race Bank and North Ridge MPA is located off the south Lincolnshire coast, encompassing a wide range of sandbank types and biogenic reef. Documents Inner Dowsing, Race Bank and North Ridge SAC Byelaw PDF , 457 KB , 9 pages Inner Dowsing, Race Bank and North Ridge SAC Decision Document PDF , 1.68 MB , 53 pages Inner Dowsing, Race Bank and North Ridge SAC MMO Fisheries Assessment PDF , 8.46 MB , 144 pages Inner Dowsing, Race Bank and North Ridge SAC Regulatory Triage Assessment PDF , 4.42 MB , 40 pages Inner Dowsing Race Bank and North Ridge SAC MMO Information Sheet 2022 PDF , 2.14 MB , 2 pages Details The byelaw was made by the Marine Management Organisation on 8 April 2022 and will come into force on 13 June 2022. The purpose of the byelaw is to protect the Inner Dowsing, Race Bank and North Ridge SAC from the impacts of bottom towed fishing gear and static fishing gears. More information on the site from Joint Nature Conservation Committee . A signed copy of the byelaw will be provided for inspection by emailing conservation@marinemanagement.org.uk Updates to this page","The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022 The Inner Dowsing, Race Bank and North Ridge Special Area of Conservation (Specified Areas) Prohibited Fishing Gears Byelaw 2022 The Inner Dowsing, Race Bank and North Ridge MPA is located off the south Lincolnshire coast, encompassing a wide range of sandbank types and biogenic reef Documents Inner Dowsing, Race Bank and North Ridge SAC Byelaw PDF , 457 KB , 9 pages Inner Dowsing, Race Bank and North Ridge SAC Decision Document PDF , 1.68 MB , 53 pages Inner Dowsing, Race Bank and North Ridge SAC MMO Fisheries Assessment PDF , 8.46 MB , 144 pages Inner Dowsing, Race Bank and North Ridge SAC Regulatory Triage Assessment PDF , 4.42 MB , 40 pages Inner Dowsing Race Bank and North Ridge SAC MMO Information Sheet 2022 PDF , 2.14 MB , 2 pages Details The byelaw was made by the Marine Management Organisation on 8 April 2022 and will come into force on 13 June 2022 The purpose of the byelaw is to protect the Inner Dowsing, Race Bank and North Ridge SAC from the impacts of bottom towed fishing gear and static fishing gears More information on the site from Joint Nature Conservation Committee A signed copy of the byelaw will be provided for inspection by emailing conservation@marinemanagement.org.uk Updates to this page",IVMS,0.12690952,0.030365817,Unclassified,REVIEW_LOW_SCORE
The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-irish-sea-marine-protected-areas-fishing-gear-byelaw-2024,19 June 2025,"The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Irish Sea region. Documents PDF , 1.11 MB , 10 pages Details This draft byelaw covers ICES area 7a and includes measures for the following MPAs: Fylde – prohibition of bottom towed gear across the whole of the MPA. Shell Flat and Lune Deep – prohibition of bottom towed gear across the whole of the Shell Flat portion of the MPA. West of Copeland - prohibition of bottom towed gear across the whole of the MPA. West of Walney – prohibition of bottom towed gear across the whole of the MPA. Updates to this page 19 June 2025 The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 draft document has been updated with corrections made to map coordinates. The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 draft document has been updated with corrections made to map coordinates. 9 June 2025 First published. First published.","The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in The Irish Sea region Documents PDF , 1.11 MB , 10 pages Details This draft byelaw covers ICES area 7a and includes measures for the following MPAs: Fylde – prohibition of bottom towed gear across the whole of the MPA Shell Flat and Lune Deep – prohibition of bottom towed gear across the whole of the Shell Flat portion of the MPA West of Copeland - prohibition of bottom towed gear across the whole of the MPA West of Walney – prohibition of bottom towed gear across the whole of the MPA Updates to this page 19 June 2025 The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 draft document has been updated with corrections made to map coordinates The Irish Sea Marine Protected Areas Fishing Gear Byelaw 2024 draft document has been updated with corrections made to map coordinates. 9 June 2025 First published",Marine Planning,0.15807603,0.0035516322,Unclassified,REVIEW_LOW_SCORE
The North Sea Marine Protected Areas Fishing Gear Byelaw 2024,https://www.gov.uk/government/publications/the-north-sea-marine-protected-areas-fishing-gear-byelaw-2024,9 June 2025,"The North Sea Marine Protected Areas Fishing Gear Byelaw 2024 MMO is proposing management measures for offshore marine protected areas (MPAs) in the North Sea region. Documents PDF , 21.4 MB , 38 pages Details This draft byelaw covers ICES areas 4a and 4b and includes measures for the following MPAs: Farnes East – prohibition of bottom towed gear across the whole of the MPA. Foreland – prohibition of bottom towed gear across the whole of the MPA. Fulmar – prohibition of bottom towed gear across the whole of the MPA. Goodwin Sands – prohibition of bottom towed gear across the whole of the MMO portion of the MPA, prohibition of traps and bottom-set nets and lines across the Ross worm reefs in the MMO portion of the MPA. Haisborough, Hammond and Winterton – prohibition of bottom towed gear across the whole of the MMO portion of the MPA, prohibition of traps across the Ross worm reefs in the MMO portion of the MPA. Holderness Offshore – prohibition of bottom towed gear across the whole of the MPA. Kentish Knock East – prohibition of bottom towed gear across the whole of the MPA. Margate and Long Sands – prohibition of bottom towed gear across the whole of the MMO portion of the MPA. Markham’s Triangle – prohibition of bottom towed gear across the whole of the MPA. North Norfolk Sandbanks and Saturn Reef – prohibition of bottom towed gear across the whole of the MPA, prohibition of traps over the site’s Ross worm reefs. Orford Inshore – prohibition of bottom towed gear across the whole of the MPA. Swallow Sand - prohibition of bottom towed gear across the MPA except in the far north west corner where no designated features are present. In addition, this draft byelaw also incorporates existing measures for: Inner Dowsing, Race Bank and North Ridge - existing prohibition of bottom towed fishing gear across the sandbanks and reefs, and of bottom-set nets and lines and traps over reefs. Dogger Bank – existing prohibition of bottom towed fishing gear across the whole of the M","Foreland – prohibition of bottom towed gear across the whole of the MPA Fulmar – prohibition of bottom towed gear across the whole of the MPA Goodwin Sands – prohibition of bottom towed gear across the whole of the MMO portion of the MPA, prohibition of traps and bottom-set nets and lines across the Ross worm reefs in the MMO portion of the MPA Holderness Offshore – prohibition of bottom towed gear across the whole of the MPA Kentish Knock East – prohibition of bottom towed gear across the whole of the MPA Markham’s Triangle – prohibition of bottom towed gear across the whole of the MPA North Norfolk Sandbanks and Saturn Reef – prohibition of bottom towed gear across the whole of the MPA, prohibition of traps over the site’s Ross worm reefs Orford Inshore – prohibition of bottom towed gear across the whole of the MPA",Marine Planning,0.13619797,0.035472117,Unclassified,REVIEW_LOW_SCORE
UK National North Sea Cod Avoidance Plan,https://www.gov.uk/government/publications/uk-national-north-sea-cod-avoidance-plan,21 January 2025,"UK National North Sea Cod Avoidance Plan Documents PDF , 802 KB , 8 pages Details This UK plan seeks to address two key issues: to support recovery of the North Sea cod stock and, to support the fishing industry to manage their quota in line with the reduced TAC that was set in 2020. Real Time Closures (RTCs) and Real Time Reporting (RTR) in particular will help manage quota issues for the fleet.  This plan mainly focuses on spatial measures to avoid catching an abundance of cod.  Whilst spatial measures are difficult to quantify, our previous experience of using spatial measures such as RTCs (particularly during the Cod Recovery Plan) demonstrates that such measures can have an observable effect on cod mortality and biomass. The UK National North Sea Cod Avoidance plan outlines the following; Spawning/Seasonal Closures Real Time Closures Real Time Reporting Selectivity – Fish and Mud areas (For English vessels this provision is only applicable in Scottish waters IV) Updates to this page 12 January 2026 UK National North Sea Cod Avoidance Plan updated. UK National North Sea Cod Avoidance Plan updated. 21 January 2025 UK National North Sea Cod Avoidance Plan - update UK National North Sea Cod Avoidance Plan - update 18 January 2023 January update January update 4 January 2021 First published. First published.","UK National North Sea Cod Avoidance Plan UK National North Sea Cod Avoidance Plan Documents PDF , 802 KB , 8 pages Details This UK plan seeks to address two key issues: to support recovery of the North Sea cod stock and, to support the fishing industry to manage their quota in line with the reduced TAC that was set in 2020 Real Time Closures (RTCs) and Real Time Reporting (RTR) in particular will help manage quota issues for the fleet This plan mainly focuses on spatial measures to avoid catching an abundance of cod Whilst spatial measures are difficult to quantify, our previous experience of using spatial measures such as RTCs (particularly during the Cod Recovery Plan) demonstrates that such measures can have an observable effect on cod mortality and biomass The UK National North Sea Cod Avoidance plan outlines the following; Spawning/Seasonal Closures Real Time Closures Real Time Reporting Selectivity – Fish and Mud areas (For English vessels this provision is only applicable in Scottish waters IV) Updates to this page 12 January 2026 UK National North Sea Cod Avoidance Plan updated UK National North Sea Cod Avoidance Plan updated. 21 January 2025 UK National North Sea Cod Avoidance Plan - update UK National North Sea Cod Avoidance Plan - update 18 January 2023 January update January update 4 January 2021 First published",Marine Planning,0.16773093,0.06782198,Unclassified,REVIEW_LOW_SCORE
European Maritime and Fisheries Fund (EMFF): apply for funding,https://www.gov.uk/guidance/european-maritime-and-fisheries-fund-emff-apply-for-funding,14 January 2025,"European Maritime and Fisheries Fund (EMFF): apply for funding Apply for European Maritime and Fisheries Funds (EMFF) and download guidance documents and application forms. The EMFF scheme is closed for any applications The Marine Management Organisation ( MMO ) reopened the scheme in May 2023 for a limited amount of funding which has now been allocated to projects. Funding is currently available through the UK Seafood Fund to commercial fishing vessels to replace or modify their engines. Funding is available on a first come first served basis. To apply please check the webpages online at: https://www.gov.uk/guidance/apply-for-the-uk-seafood-fund-infrastructure-scheme-round-3 EMFF assessment panel for applications over £100,000 £100,000
The MMO will be holding panels to consider EMFF applications for projects costing £100,000 and over. The panels will meet on the following dates. Any project applications costing £100,000 and over received after the dates shown below will not be considered at that panel. Applications of less than £100,000 will continue to be assessed on a regular basis and are not affected by these deadlines. The 2018 panel dates are as follows: The first panel will be held on 21 March 2018. Applicants are asked to ensure their applications reach the MMO by 19 January 2018. A second panel will take place on 13 June 2018 with a deadline for applications of 13 April 2018. A third panel will convene on 5 September 2018 with an application deadline of 30 June 2018. A final panel will take place on 21 November 2018 with an application deadline of 14 September 2018. Eligibility There are different eligibility requirements depending on who you are and what project you are applying for. In general, to qualify for EMFF funds your project needs to support the overall aims of the EMFF which are to: make the fisheries and aquaculture sectors more sustainable conservation of the marine environment support growth and jobs in coastal communities Projects that don’t","The EMFF scheme is closed for any applications The Marine Management Organisation ( MMO ) reopened the scheme in May 2023 for a limited amount of funding which has now been allocated to projects Funding is available on a first come first served basis To apply please check the webpages online at: https://www.gov.uk/guidance/apply-for-the-uk-seafood-fund-infrastructure-scheme-round-3 EMFF assessment panel for applications over £100,000 £100,000 The MMO will be holding panels to consider EMFF applications for projects costing £100,000 and over Any project applications costing £100,000 and over received after the dates shown below will not be considered at that panel The 2018 panel dates are as follows: The first panel will be held on 21 March 2018 Applicants are asked to ensure their applications reach the MMO by 19 January 2018 A second panel will take place on 13 June 2018 with a deadline for applications of 13 April 2018 A third panel will convene on 5 September 2018 with an application deadline of 30 June 2018",Funding,0.47744793,0.4178226,Funding,OK
Generating energy offshore,https://www.gov.uk/guidance/generating-energy-offshore,18 September 2014,"Generating energy offshore Information about generating energy offshore Offshore generating stations in English waters such as wind farms and wave and tidal devices will require consent before they can be built and before they can generate energy. Stations which would generate more than 100 megawatts ( MW ) are classed as nationally significant infrastructure projects and require a development consent order granted by the Secretary of State. This may supersede the need for the other consents outlined below. Marine licences The construction of works, deposit of substances or articles, dredging and many other activities require a marine licence from Marine Management Organisation ( MMO ). Often offshore generating stations will include licensable activities. You can find more information about how to apply , the activities which require a licence and apply for a licence online. Electricity Act 1989 consents You will need consent from MMO to construct, extend or operate any offshore generating stations with a generating capacity of between 1 and 100MW – section 36 You can also apply to remove the public rights of navigation that pass through the generating station, a section 36A declaration. If applying for a section 36A declaration this must be done at the same time as your application for section 36 consent. Application fees vary depending on the generating capacity of the installation. If you need both consents you must apply for both at the same time. Further guidance on section 36 variations Some electricity generating works may be subject to regulation under the Electricity Works (Environmental Impact Assessment) (England and Wales) Regulations 2000 (as amended) and require an environmental impact assessment to be submitted to the MMO alongside the main application. Safety zone applications You can apply to MMO for a safety zone declaration around offshore renewable energy generating stations. Safety zone applications can be made at the same time as the section 3","Generating energy offshore Generating energy offshore Information about generating energy offshore Offshore generating stations in English waters such as wind farms and wave and tidal devices will require consent before they can be built and before they can generate energy Often offshore generating stations will include licensable activities You can find more information about how to apply , the activities which require a licence and apply for a licence online Electricity Act 1989 consents You will need consent from MMO to construct, extend or operate any offshore generating stations with a generating capacity of between 1 and 100MW – section 36 You can also apply to remove the public rights of navigation that pass through the generating station, a section 36A declaration If applying for a section 36A declaration this must be done at the same time as your application for section 36 consent If you need both consents you must apply for both at the same time Further guidance on section 36 variations Some electricity generating works may be subject to regulation under the Electricity Works (Environmental Impact Assessment) (England and Wales) Regulations 2000 (as amended) and require an environmental impact assessment to be submitted to the MMO alongside the main application Safety zone applications You can apply to MMO for a safety zone declaration around offshore renewable energy generating stations",Compliance,0.20120071,0.047048748,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
I-VMS licence condition requirements for under-12 metre fishing vessels registered in England,https://www.gov.uk/guidance/i-vms-licence-condition-requirements-for-under-12-metre-fishing-vessels-registered-in-england,25 September 2025,"I-VMS licence condition requirements for under-12 metre fishing vessels registered in England Guidance explaining the operational requirements for Inshore Vessel Monitoring Systems (I-VMS) under the fishing licence condition. Important update - 25 September 2025 On 12 August, MMO published an article confirming that Succorfish (supplier of SC2 devices) was no longer forwarding I-VMS data to the UK VMS Hub, and that discussions were underway to resolve this matter. On 19 September, Devon & Severn IFCA (DSIFCA) announced plans to introduce ReWire devices to fishers in its district. MMO understands this is a temporary measure to address the ceasing of data transmissions by Succorfish SC2 I-VMS devices to the UK VMS Hub. The use of ReWire devices is specific to fishers currently affected by the suspended data transmission by Succorfish, within the DSIFCA district, to obtain positional information required under their bylaw and ensure fishers can be compliant. We are in discussion with DSIFCA about the technical elements of introducing these devices, including the use of the data. We are also aware that other IFCAs with byelaws or permit requirements may also be exploring temporary options. Fishers should contact their IFCA directly for further information. Meanwhile, MMO continues to work with Succorfish to resolve this matter and would like to thank fishers for their patience while we do so. All fishers should continue to operate as normal, including having their I-VMS devices switched on and transmitting positional data while at sea. Data transmissions by SC2 devices will still reach the supplier’s server. Our measured approach to enforcement of the licence condition remains in place at this time. We will issue another update when more information is available. If you have any questions, please contact the I-VMS Help Desk at ivms@marinemanagement.org.uk or 01900 508618. Phone lines are open Monday to Friday, 9.00am to 5.00pm. This page provides guidance on the require","I-VMS licence condition requirements for under-12 metre fishing vessels registered in England I-VMS licence condition requirements for under-12 metre fishing vessels registered in England Guidance explaining the operational requirements for Inshore Vessel Monitoring Systems (I-VMS) under the fishing licence condition Important update - 25 September 2025 On 12 August, MMO published an article confirming that Succorfish (supplier of SC2 devices) was no longer forwarding I-VMS data to the UK VMS Hub, and that discussions were underway to resolve this matter On 19 September, Devon & Severn IFCA (DSIFCA) announced plans to introduce ReWire devices to fishers in its district MMO understands this is a temporary measure to address the ceasing of data transmissions by Succorfish SC2 I-VMS devices to the UK VMS Hub The use of ReWire devices is specific to fishers currently affected by the suspended data transmission by Succorfish, within the DSIFCA district, to obtain positional information required under their bylaw and ensure fishers can be compliant We are in discussion with DSIFCA about the technical elements of introducing these devices, including the use of the data Fishers should contact their IFCA directly for further information All fishers should continue to operate as normal, including having their I-VMS devices switched on and transmitting positional data while at sea",Compliance,0.14130326,0.04558459,Unclassified,REVIEW_LOW_SCORE
Contact the marine planning team at the MMO,https://www.gov.uk/government/publications/contact-the-marine-planning-team-at-the-mmo,29 August 2025,Contact the marine planning team at the MMO Specific regional contact details for marine planning officers at the Marine Management Organisation (MMO) Documents Marine planning officers contact details Details The MMO have marine planning officers based around the English coast. They are here to keep you up-to-date with the development of marine plans in your area. Updates to this page 29 August 2025 Friday 29 August 2025 update. Friday 29 August 2025 update. 18 February 2025 North East/South coastal planners updated North East/South coastal planners updated 20 June 2024 Update - Char Lewis added Update - Char Lewis added 1 March 2024 South update - February 2024 South update - February 2024 16 November 2023 Contact details updated. Contact details updated. 2 October 2023 Marine Planning contact detail update Marine Planning contact detail update 6 June 2023 06 June 2023 update. 06 June 2023 update. 25 April 2023 25 April 2023 update. 25 April 2023 update. 27 February 2023 Update Feb 27 Update Feb 27 29 November 2022 Marine Planning - update Marine Planning - update 24 May 2022 Marine planner officer details updated Marine planner officer details updated 22 July 2021 New contacts New contacts 22 June 2021 Marine Planning Officer contacts updated Marine Planning Officer contacts updated 21 January 2020 updated contact details updated contact details 15 October 2018 South details added South details added 18 January 2018 First published. First published.,Contact the marine planning team at the MMO Contact the marine planning team at the MMO Specific regional contact details for marine planning officers at the Marine Management Organisation (MMO) Documents Marine planning officers contact details Details The MMO have marine planning officers based around the English coast They are here to keep you up-to-date with the development of marine plans in your area Updates to this page 29 August 2025 Friday 29 August 2025 update Friday 29 August 2025 update. 18 February 2025 North East/South coastal planners updated North East/South coastal planners updated 20 June 2024 Update - Char Lewis added Update - Char Lewis added 1 March 2024 South update - February 2024 South update - February 2024 16 November 2023 Contact details updated Contact details updated. 2 October 2023 Marine Planning contact detail update Marine Planning contact detail update 6 June 2023 06 June 2023 update. 06 June 2023 update. 25 April 2023 25 April 2023 update. 25 April 2023 update. 27 February 2023 Update Feb 27 Update Feb 27 29 November 2022 Marine Planning - update Marine Planning - update 24 May 2022 Marine planner officer details updated Marine planner officer details updated 22 July 2021 New contacts New contacts 22 June 2021 Marine Planning Officer contacts updated Marine Planning Officer contacts updated 21 January 2020 updated contact details updated contact details 15 October 2018 South details added South details added 18 January 2018 First published,Marine Planning,0.22564095,0.07105042,Unclassified,REVIEW_SCORE_BELOW_THRESHOLD
Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers,https://www.gov.uk/government/publications/delegated-marine-enforcement-officer-powers-for-inshore-fisheries-conservation-officers,10 March 2020,"Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers EU restrictions and enforceable EU obligations relating to sea fishing Documents IFCO – MEOLEG1 PDF , 115 KB , 1 page Details Appointed officers have full Marine Enforcement Officer (MEO) powers, but are restricted to enforcing the legislation specified within this schedule and can only exercise MEO enforcement powers within the jurisdiction specified in the counterparts to their warrant. Updates to this page 10 March 2020 updated materials updated materials 25 October 2019 updated attachments updated attachments 22 August 2019 Schedule of legislation updated Schedule of legislation updated 14 August 2019 Schedule of Legislation updated Schedule of Legislation updated 13 September 2018 Page updated Page updated 28 June 2016 Text changed Text changed 28 June 2016 Table updated Table updated 28 January 2016 Council Regulation (EC) No 2016/72 added Council Regulation (EC) No 2016/72 added 7 January 2016 | Council Regulation (EC) No 1185/13 changed to | Council Regulation (EC) No 1185/03 | Council Regulation (EC) No 1185/13 changed to | Council Regulation (EC) No 1185/03 29 December 2015 First published. First published.","Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers Delegated Marine Enforcement powers for Inshore Fisheries and Conservation Officers EU restrictions and enforceable EU obligations relating to sea fishing Documents IFCO – MEOLEG1 PDF , 115 KB , 1 page Details Appointed officers have full Marine Enforcement Officer (MEO) powers, but are restricted to enforcing the legislation specified within this schedule and can only exercise MEO enforcement powers within the jurisdiction specified in the counterparts to their warrant Updates to this page 10 March 2020 updated materials updated materials 25 October 2019 updated attachments updated attachments 22 August 2019 Schedule of legislation updated Schedule of legislation updated 14 August 2019 Schedule of Legislation updated Schedule of Legislation updated 13 September 2018 Page updated Page updated 28 June 2016 Text changed Text changed 28 June 2016 Table updated Table updated 28 January 2016 Council Regulation (EC) No 2016/72 added Council Regulation (EC) No 2016/72 added 7 January 2016 | Council Regulation (EC) No 1185/13 changed to | Council Regulation (EC) No 1185/03 | Council Regulation (EC) No 1185/13 changed to | Council Regulation (EC) No 1185/03 29 December 2015 First published",Compliance,0.1258903,0.029534414,Unclassified,REVIEW_LOW_SCORE
How to manually report electronic logbook reports (e-logs),https://www.gov.uk/government/publications/how-to-manually-report-electronic-logbook-reports,5 April 2017,"How to manually report electronic logbook reports (e-logs) Information that must be sent manually to the UK Fisheries Call Centre if your electronic logbook software system fails. Documents Sailing with a broken terminal Reporting requirements Details If your electronic logbook software system (ELSS) fails or stops working on your vessel, you should report mandatory logbook information to the UK Fisheries Monitoring Centre each day no later than 23.59 UTC starting from the time the event was detected. You must send reports even when there are no catches. UK Fisheries Monitoring Centre Telephone: 0131 271 9700 ukfmc@gov.scot Data should also be sent: when a fisheries administration requests it immediately after the last fishing operation before entering into port at the time of any inspection at sea Updates to this page 5 April 2017 Name changed to UK Fisheries Monitoring Centre Name changed to UK Fisheries Monitoring Centre 11 June 2014 First published. First published.","How to manually report electronic logbook reports (e-logs) How to manually report electronic logbook reports (e-logs) Information that must be sent manually to the UK Fisheries Call Centre if your electronic logbook software system fails Documents Sailing with a broken terminal Reporting requirements Details If your electronic logbook software system (ELSS) fails or stops working on your vessel, you should report mandatory logbook information to the UK Fisheries Monitoring Centre each day no later than 23.59 UTC starting from the time the event was detected You must send reports even when there are no catches UK Fisheries Monitoring Centre Telephone: 0131 271 9700 ukfmc@gov.scot Data should also be sent: when a fisheries administration requests it immediately after the last fishing operation before entering into port at the time of any inspection at sea Updates to this page 5 April 2017 Name changed to UK Fisheries Monitoring Centre Name changed to UK Fisheries Monitoring Centre 11 June 2014 First published",FMT,0.16053805,0.021551713,Unclassified,REVIEW_LOW_SCORE
